season,round,team_uid,team,pos,played,win,draw,loss,gf,ga,pts
2993866,20,276507,Liverpool,1,20,13,3,4,42,17,42
2993866,20,276510,Manchester Kék,2,20,11,6,3,33,16,39
2993866,20,276508,Chelsea,3,20,10,7,3,37,20,37
2993866,20,276502,Vörös Ördögök,4,20,9,7,4,35,28,34
2993866,20,276506,Brentford,5,20,9,6,5,21,19,33
2993866,20,276501,Everton,6,20,9,5,6,25,18,32
2993866,20,276514,Wolverhampton,7,20,8,7,5,29,25,31
2993866,20,276513,London Ágyúk,8,20,9,3,8,30,26,30
2993866,20,276505,Tottenham,9,20,8,4,8,25,28,28
2993866,20,276503,Fulham,10,20,8,2,10,20,23,26
2993866,20,276509,Crystal Palace,11,20,8,2,10,21,27,26
2993866,20,276515,West Ham,12,20,5,5,10,23,32,20
2993866,20,276516,Nottingham,13,20,5,5,10,19,31,20
2993866,20,276504,Aston Oroszlán,14,20,4,7,9,12,26,19
2993866,20,276511,Brighton,15,20,4,4,12,19,37,16
2993866,20,276512,Newcastle,16,20,3,1,16,19,37,10
2993866,20,276507,Liverpool,1,20,13,3,4,42,17,42
2993866,20,276510,Manchester Kék,2,20,11,6,3,33,16,39
2993866,20,276508,Chelsea,3,20,10,7,3,37,20,37
2993866,20,276502,Vörös Ördögök,4,20,9,7,4,35,28,34
2993866,20,276506,Brentford,5,20,9,6,5,21,19,33
2993866,20,276501,Everton,6,20,9,5,6,25,18,32
2993866,20,276514,Wolverhampton,7,20,8,7,5,29,25,31
2993866,20,276513,London Ágyúk,8,20,9,3,8,30,26,30
2993866,20,276505,Tottenham,9,20,8,4,8,25,28,28
2993866,20,276503,Fulham,10,20,8,2,10,20,23,26
2993866,20,276509,Crystal Palace,11,20,8,2,10,21,27,26
2993866,20,276515,West Ham,12,20,5,5,10,23,32,20
2993866,20,276516,Nottingham,13,20,5,5,10,19,31,20
2993866,20,276504,Aston Oroszlán,14,20,4,7,9,12,26,19
2993866,20,276511,Brighton,15,20,4,4,12,19,37,16
2993866,20,276512,Newcastle,16,20,3,1,16,19,37,10
2993866,21,276507,Liverpool,1,22,14,4,4,45,17,46
2993866,21,276508,Chelsea,2,22,11,8,3,39,21,41
2993866,21,276510,Manchester Kék,3,22,11,8,3,34,17,41
2993866,21,276501,Everton,4,22,10,6,6,28,18,36
2993866,21,276502,Vörös Ördögök,5,22,9,8,5,35,31,35
2993866,21,276506,Brentford,6,22,9,8,5,21,19,35
2993866,21,276514,Wolverhampton,7,22,8,9,5,30,26,33
2993866,21,276513,London Ágyúk,8,22,9,5,8,32,28,32
2993866,21,276503,Fulham,9,22,9,3,10,21,23,30
2993866,21,276505,Tottenham,10,22,8,6,8,27,30,30
2993866,21,276509,Crystal Palace,11,22,8,3,11,22,29,27
2993866,21,276516,Nottingham,12,22,5,7,10,20,32,22
2993866,21,276515,West Ham,13,22,5,6,11,23,35,21
2993866,21,276504,Aston Oroszlán,14,22,4,8,10,12,27,20
2993866,21,276511,Brighton,15,22,4,6,12,19,37,18
2993866,21,276512,Newcastle,16,22,3,3,16,20,38,12
2993866,21,276507,Liverpool,1,22,14,4,4,45,17,46
2993866,21,276508,Chelsea,2,22,11,8,3,39,21,41
2993866,21,276510,Manchester Kék,3,22,11,8,3,34,17,41
2993866,21,276501,Everton,4,22,10,6,6,28,18,36
2993866,21,276502,Vörös Ördögök,5,22,9,8,5,35,31,35
2993866,21,276506,Brentford,6,22,9,8,5,21,19,35
2993866,21,276514,Wolverhampton,7,22,8,9,5,30,26,33
2993866,21,276513,London Ágyúk,8,22,9,5,8,32,28,32
2993866,21,276503,Fulham,9,22,9,3,10,21,23,30
2993866,21,276505,Tottenham,10,22,8,6,8,27,30,30
2993866,21,276509,Crystal Palace,11,22,8,3,11,22,29,27
2993866,21,276516,Nottingham,12,22,5,7,10,20,32,22
2993866,21,276515,West Ham,13,22,5,6,11,23,35,21
2993866,21,276504,Aston Oroszlán,14,22,4,8,10,12,27,20
2993866,21,276511,Brighton,15,22,4,6,12,19,37,18
2993866,21,276512,Newcastle,16,22,3,3,16,20,38,12
2993866,21,276507,Liverpool,1,22,14,4,4,45,17,46
2993866,21,276508,Chelsea,2,22,11,8,3,39,21,41
2993866,21,276510,Manchester Kék,3,22,11,8,3,34,17,41
2993866,21,276501,Everton,4,22,10,6,6,28,18,36
2993866,21,276502,Vörös Ördögök,5,22,9,8,5,35,31,35
2993866,21,276506,Brentford,6,22,9,8,5,21,19,35
2993866,21,276514,Wolverhampton,7,22,8,9,5,30,26,33
2993866,21,276513,London Ágyúk,8,22,9,5,8,32,28,32
2993866,21,276503,Fulham,9,22,9,3,10,21,23,30
2993866,21,276505,Tottenham,10,22,8,6,8,27,30,30
2993866,21,276509,Crystal Palace,11,22,8,3,11,22,29,27
2993866,21,276516,Nottingham,12,22,5,7,10,20,32,22
2993866,21,276515,West Ham,13,22,5,6,11,23,35,21
2993866,21,276504,Aston Oroszlán,14,22,4,8,10,12,27,20
2993866,21,276511,Brighton,15,22,4,6,12,19,37,18
2993866,21,276512,Newcastle,16,22,3,3,16,20,38,12
2993866,21,276507,Liverpool,1,22,14,4,4,45,17,46
2993866,21,276508,Chelsea,2,22,11,8,3,39,21,41
2993866,21,276510,Manchester Kék,3,22,11,8,3,34,17,41
2993866,21,276501,Everton,4,22,10,6,6,28,18,36
2993866,21,276502,Vörös Ördögök,5,22,9,8,5,35,31,35
2993866,21,276506,Brentford,6,22,9,8,5,21,19,35
